,co2,longitude,latitude,time
393,389.11325,13.69035,49.40193,2009-04-21 12:30:53.630983
394,388.00226,15.797959,48.98919,2009-04-21 12:30:58.090665
395,390.6279,17.849707,48.497997,2009-04-21 12:31:02.550066
396,388.1325,8.915959,48.648052,2009-04-21 12:31:24.846384
397,386.8435,6.7520275,33.598682,2009-04-21 12:35:16.733761
398,389.25497,2.7233195,8.935587,2009-04-21 12:42:02.538802
399,391.23642,1.0175478,7.8540225,2009-04-21 12:42:29.295043
400,382.48264,14.540279,78.04717,2009-04-21 14:00:49.439536
401,389.52628,-13.995264,28.50622,2009-04-21 14:14:29.962786
402,392.53592,-15.128127,24.478333,2009-04-21 14:15:54.689785
403,390.90628,-21.522385,17.352957,2009-04-21 14:17:55.093357
404,390.21448,-22.1015,14.636748,2009-04-21 14:18:39.687281
405,391.30704,-22.96037,10.570746,2009-04-21 14:19:55.495158
406,390.72418,-24.399393,10.806348,2009-04-21 14:19:59.955564
407,390.94342,-24.657387,9.426017,2009-04-21 14:20:04.414281
408,390.36374,-23.242203,9.207671,2009-04-21 14:20:08.873641
409,387.78482,-23.527355,7.855534,2009-04-21 14:20:40.088680
410,391.0838,-24.955656,8.091408,2009-04-21 14:20:44.549086
411,386.5071,-25.51348,5.3774285,2009-04-21 14:21:29.142487
412,389.0067,-46.067455,17.352787,2009-04-21 15:56:05.887396
413,388.36893,-47.218636,11.923764,2009-04-21 15:57:35.075365
414,388.32996,-47.50524,10.571442,2009-04-21 15:58:06.290967
415,388.6293,-48.94421,10.805937,2009-04-21 15:58:10.750166
416,389.5181,-49.50016,8.091143,2009-04-21 15:58:55.343648
